Experiment,Date,Run,Car,Base Weight (g),Added Weight (g),Total Weight (g),Condition,Trial,Time (s),Speed (m/s),Speed (mph),Scale Speed (mph),Momentum (kg*m/s),Kinetic Energy (J),Outlier,Notes
F-150 Weight Experiment,2026-02-17,1,F-150 Control,38.025,0.0,38.025,0g added,1,1.5612,3.749,8.39,536.7,0.1425,0.2672,,
F-150 Weight Experiment,2026-02-17,2,F-150 Test,31.546,0.0,31.546,0g added,1,1.5443,3.790,8.48,542.5,0.1195,0.2265,,
F-150 Weight Experiment,2026-02-17,3,F-150 Control,38.025,0.0,38.025,0g added,2,1.5072,3.883,8.69,555.9,0.1476,0.2866,,
F-150 Weight Experiment,2026-02-17,4,F-150 Test,31.546,0.0,31.546,0g added,2,1.5099,3.876,8.67,554.9,0.1223,0.2369,,
F-150 Weight Experiment,2026-02-17,5,F-150 Control,38.025,0.0,38.025,0g added,3,1.4895,3.929,8.79,562.5,0.1494,0.2935,,
F-150 Weight Experiment,2026-02-17,6,F-150 Test,31.546,0.0,31.546,0g added,3,1.4773,3.961,8.86,567.1,0.1250,0.2475,,
F-150 Weight Experiment,2026-02-17,7,F-150 Control,38.025,3.5,41.525,+3.5g tungsten,1,1.4813,3.951,8.84,565.6,0.1641,0.3241,,
F-150 Weight Experiment,2026-02-17,8,F-150 Test,31.546,3.5,35.046,+3.5g tungsten,1,1.4742,3.970,8.88,568.3,0.1391,0.2761,,
F-150 Weight Experiment,2026-02-17,9,F-150 Control,38.025,3.5,41.525,+3.5g tungsten,2,1.4806,3.953,8.84,565.9,0.1641,0.3244,,
F-150 Weight Experiment,2026-02-17,10,F-150 Test,31.546,3.5,35.046,+3.5g tungsten,2,1.4801,3.954,8.84,566.1,0.1386,0.2739,,
F-150 Weight Experiment,2026-02-17,11,F-150 Control,38.025,3.5,41.525,+3.5g tungsten,3,1.5152,3.862,8.64,552.9,0.1604,0.3097,,
